                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1954,                 2.9967,                 1.5252,                0.03908,                      1,                0.57069,                0.45509,                0.73989,                  2.347,                0.93671,             0.00023338,             0.00023338,             0.00023338
                      2,                0.69062,                 1.5342,                 1.1733,                0.87349,                 0.5434,                0.90498,                 0.7731,                0.64534,                 1.8741,                 0.7943,             0.00043557,             0.00043557,             0.00043557
                      3,                0.63008,                 1.2427,                 1.0677,                0.80988,                0.85421,                0.89461,                0.75575,                0.64518,                 1.6446,                 0.8227,             0.00058825,             0.00058825,             0.00058825
                      4,                 0.6017,                 1.0955,                 1.0717,                0.81343,                 0.8546,                  0.956,                0.83701,                0.60087,                   1.03,                0.77794,             0.00069142,             0.00069142,             0.00069142
                      5,                0.61426,                  1.033,                  1.064,                0.91437,                      1,                0.98675,                 0.8865,                0.53507,                0.76427,                0.71937,             0.00074508,             0.00074508,             0.00074508
                      6,                0.58922,                0.98204,                 1.0325,                0.90672,                0.95919,                0.97207,                0.83784,                0.62548,                0.88948,                0.79316,             0.00074923,             0.00074923,             0.00074923
                      7,                0.55093,                0.90456,                 1.0333,                 0.7252,                0.74696,                0.88203,                0.69294,                0.84672,                 1.8719,                0.95094,              0.0006768,              0.0006768,              0.0006768
                      8,                0.53387,                0.83191,                 1.0126,                      1,                0.96051,                0.99125,                0.86705,                0.57473,                0.64415,                0.72739,             0.00051177,             0.00051177,             0.00051177
                      9,                0.51114,                  0.804,                0.98828,                0.99157,                0.97059,                0.99125,                0.87992,                0.51217,                0.60487,                0.68213,             0.00034674,             0.00034674,             0.00034674
                     10,                0.50747,                0.78021,                0.98777,                0.98867,                      1,                  0.995,                0.90315,                0.47684,                0.54087,                0.65284,              0.0001817,              0.0001817,              0.0001817
