                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.85425,                 1.3037,                 1.1717,                0.97687,                0.90571,                0.98916,                 0.8438,                0.66524,                0.82492,                0.86028,             0.00025005,             0.00025005,             0.00025005
                      2,                0.72206,                0.96115,                 1.0695,                0.98147,                0.98256,                  0.995,                0.78588,                0.83268,                0.77579,                0.96079,             0.00051165,             0.00051165,             0.00051165
                      3,                0.71089,                0.85177,                 1.0572,                 0.9237,                0.98605,                0.96875,                0.80639,                0.66467,                0.78262,                0.84623,             0.00076798,             0.00076798,             0.00076798
                      4,                0.69102,                 0.7773,                 1.0573,                  0.767,                0.91176,                0.96075,                0.67605,                 1.0999,                 1.2443,                 1.0435,               0.001019,               0.001019,               0.001019
                      5,                0.70677,                0.74401,                 1.0493,                0.88948,                0.88235,                0.93781,                0.74951,                0.66066,                0.87741,                0.77334,              0.0012648,              0.0012648,              0.0012648
                      6,                 0.7028,                0.73724,                 1.0481,                0.85398,                0.74471,                0.86244,                0.68249,                0.69819,                 1.1281,                0.82324,              0.0015053,              0.0015053,              0.0015053
                      7,                0.72994,                0.75355,                 1.0684,                0.77454,                 0.7534,                0.80519,                0.44186,                 1.3092,                 1.7817,                 1.3639,               0.001568,               0.001568,               0.001568
                      8,                0.68389,                0.71546,                 1.0374,                0.76029,                0.91176,                 0.8454,                0.54647,                 0.9245,                 1.3077,                 1.0434,              0.0015515,              0.0015515,              0.0015515
                      9,                0.71519,                0.74114,                 1.0428,                0.71014,                0.69059,                0.71485,                0.48892,                 1.2286,                 1.7882,                 1.1893,               0.001535,               0.001535,               0.001535
                     10,                0.66531,                0.66905,                 1.0298,                0.80208,                    0.9,                0.94088,                0.77932,                0.81021,                0.96106,                 0.8994,              0.0015185,              0.0015185,              0.0015185
                     11,                0.68959,                0.64651,                 1.0371,                0.79424,                0.94495,                  0.974,                 0.8029,                0.72486,                0.87432,                0.84533,               0.001502,               0.001502,               0.001502
                     12,                0.64604,                0.59287,                 1.0162,                 0.8668,                      1,                0.97186,                0.80989,                0.70354,                0.61284,                0.80995,              0.0014855,              0.0014855,              0.0014855
                     13,                0.68647,                0.62127,                 1.0272,                0.89031,                0.89484,                0.96644,                0.81597,                0.58713,                0.71025,                0.76764,               0.001469,               0.001469,               0.001469
                     14,                0.64332,                0.58074,                  1.015,                0.93916,                0.84272,                0.95554,                0.80327,                 0.6528,                 1.0205,                0.84368,              0.0014525,              0.0014525,              0.0014525
                     15,                0.60443,                0.54413,                 1.0004,                0.91103,                0.98302,                0.98844,                0.84251,                0.61941,                0.67409,                0.77688,               0.001436,               0.001436,               0.001436
                     16,                0.58641,                0.54166,                0.99138,                0.80107,                0.91879,                0.95708,                0.80151,                0.65177,                0.72865,                0.79861,              0.0014195,              0.0014195,              0.0014195
                     17,                0.60216,                 0.5451,                 1.0055,                0.87825,                      1,                0.96425,                0.86308,                0.54916,                0.57187,                0.72366,              0.0014029,              0.0014029,              0.0014029
                     18,                0.60762,                0.51709,                 1.0002,                 0.8115,                0.88235,                0.90138,                0.74288,                0.71384,                0.82883,                0.81524,              0.0013864,              0.0013864,              0.0013864
                     19,                0.62822,                0.54405,                 1.0139,                0.91037,                0.91582,                  0.947,                 0.8401,                0.56405,                0.65593,                0.74892,              0.0013699,              0.0013699,              0.0013699
                     20,                0.58818,                0.49402,                 1.0028,                0.86081,                   0.98,                0.97371,                 0.7891,                0.68601,                0.68274,                0.84918,              0.0013534,              0.0013534,              0.0013534
                     21,                0.59143,                 0.4854,                0.99058,                0.87183,                0.98706,                0.98076,                0.78789,                0.79567,                0.73268,                0.94757,              0.0013369,              0.0013369,              0.0013369
                     22,                0.58166,                0.49525,                0.98321,                0.91794,                      1,                0.98112,                0.86829,                0.53725,                0.45413,                0.73064,              0.0013204,              0.0013204,              0.0013204
                     23,                 0.5856,                0.46459,                0.97851,                0.91993,                      1,                  0.995,                0.87298,                0.52119,                0.45378,                0.69936,              0.0013039,              0.0013039,              0.0013039
                     24,                0.57185,                 0.4517,                0.98586,                0.97496,                 0.9864,                  0.995,                0.86646,                0.55694,                0.38919,                0.70309,              0.0012874,              0.0012874,              0.0012874
                     25,                0.56819,                0.46529,                0.99271,                 0.9204,                      1,                  0.995,                0.88556,                 0.5541,                0.42209,                0.69919,              0.0012709,              0.0012709,              0.0012709
                     26,                0.56179,                  0.449,                0.98987,                0.91697,                      1,                0.97325,                0.85657,                0.54601,                0.43434,                0.70755,              0.0012544,              0.0012544,              0.0012544
                     27,                0.54083,                0.44162,                0.98094,                0.92475,                0.99025,                  0.995,                0.87131,                0.54709,                0.43543,                0.71995,              0.0012379,              0.0012379,              0.0012379
                     28,                0.58118,                0.46147,                0.98924,                0.98545,                      1,                  0.995,                 0.8726,                0.59123,                 0.3789,                0.72461,              0.0012214,              0.0012214,              0.0012214
                     29,                0.54718,                0.43671,                0.98341,                0.92234,                      1,                0.98675,                0.87629,                0.52601,                 0.4073,                0.71649,              0.0012049,              0.0012049,              0.0012049
                     30,                0.54985,                0.42643,                0.96866,                 0.9322,                      1,                0.99361,                0.88856,                0.53441,                0.45857,                0.72167,              0.0011884,              0.0011884,              0.0011884
                     31,                0.55194,                0.42335,                0.96412,                0.73691,                0.96559,                0.98787,                0.86031,                0.58598,                0.73038,                0.74462,              0.0011719,              0.0011719,              0.0011719
                     32,                0.56134,                0.44098,                0.97726,                0.99226,                      1,                  0.995,                0.85778,                0.55206,                0.39855,                0.72975,              0.0011554,              0.0011554,              0.0011554
                     33,                0.54503,                0.42319,                0.97565,                0.99306,                      1,                  0.995,                0.87096,                0.54262,                0.41281,                0.74008,              0.0011389,              0.0011389,              0.0011389
                     34,                0.54998,                0.42662,                0.97315,                0.99246,                      1,                  0.995,                0.87422,                0.53904,                0.38424,                0.72704,              0.0011224,              0.0011224,              0.0011224
                     35,                0.55019,                0.41982,                0.97445,                0.98569,                0.96904,                  0.995,                0.86633,                0.53697,                 0.4048,                 0.7312,              0.0011059,              0.0011059,              0.0011059
                     36,                0.53373,                0.42161,                0.97766,                0.98496,                0.93733,                0.99125,                 0.8718,                0.55799,                0.44529,                0.75091,              0.0010894,              0.0010894,              0.0010894
                     37,                0.53669,                0.40394,                 0.9683,                0.89722,                      1,                0.97775,                0.86412,                0.54061,                0.40834,                0.71353,              0.0010729,              0.0010729,              0.0010729
                     38,                0.51437,                0.40203,                0.95691,                0.95174,                      1,                  0.995,                0.88864,                0.48375,                0.38643,                0.66554,              0.0010564,              0.0010564,              0.0010564
                     39,                0.52896,                0.40368,                0.97246,                0.94093,                      1,                  0.995,                0.88968,                 0.5539,                0.36884,                0.70794,              0.0010399,              0.0010399,              0.0010399
                     40,                0.51994,                0.38895,                0.96534,                0.98705,                      1,                  0.995,                0.90018,                0.54007,                0.38271,                0.73156,              0.0010234,              0.0010234,              0.0010234
                     41,                0.51425,                 0.3938,                0.96463,                0.99444,                      1,                  0.995,                0.89019,                0.53422,                0.36073,                0.69458,              0.0010069,              0.0010069,              0.0010069
                     42,                0.50889,                0.36866,                0.96116,                0.98489,                0.99237,                  0.995,                0.86497,                0.51927,                0.36065,                0.67498,             0.00099036,             0.00099036,             0.00099036
                     43,                0.53304,                0.38475,                  0.968,                0.97904,                0.99472,                  0.995,                0.89198,                0.46968,                0.38944,                0.66113,             0.00097386,             0.00097386,             0.00097386
                     44,                0.51181,                0.37569,                 0.9693,                0.92094,                      1,                  0.995,                0.88202,                0.51922,                0.38527,                0.67766,             0.00095736,             0.00095736,             0.00095736
                     45,                0.51698,                 0.3765,                0.96178,                0.92186,                      1,                  0.995,                0.90855,                 0.4792,                0.37624,                0.65642,             0.00094085,             0.00094085,             0.00094085
