                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1991,                 2.9619,                 1.5197,                0.00633,                      1,                0.59236,                0.46133,                0.72382,                 2.2629,                0.84085,             0.00025005,             0.00025005,             0.00025005
                      2,                 0.6752,                 1.5545,                 1.1359,                      1,                0.65045,                0.96095,                0.79858,                0.75741,                 1.8989,                0.89595,             0.00046561,             0.00046561,             0.00046561
                      3,                0.68918,                 1.2085,                 1.0797,                      1,                0.82678,                0.99024,                0.79519,                0.68086,                 1.6722,                0.80523,             0.00062836,             0.00062836,             0.00062836
                      4,                0.65637,                  1.068,                 1.0871,                0.80669,                0.85708,                0.89804,                0.76023,                0.72368,                 1.5417,                0.83498,              0.0007383,              0.0007383,              0.0007383
                      5,                0.65133,                 1.0519,                 1.0929,                0.97918,                0.96676,                0.99237,                0.81203,                0.70323,                0.84246,                0.82709,             0.00079543,             0.00079543,             0.00079543
                      6,                0.58686,                0.94705,                 1.0472,                0.99466,                0.94254,                0.98855,                 0.8407,                0.63708,                0.84088,                0.77739,             0.00079974,             0.00079974,             0.00079974
                      7,                0.57274,                0.88477,                 1.0403,                 0.8249,                0.86767,                0.93504,                0.80864,                0.59852,                 0.9908,                0.78653,              0.0006768,              0.0006768,              0.0006768
                      8,                0.57919,                0.86139,                 1.0131,                0.98684,                0.97407,                0.99286,                0.87802,                0.50708,                0.70562,                0.67525,             0.00051177,             0.00051177,             0.00051177
                      9,                0.52543,                0.77005,                 1.0015,                0.92255,                0.99891,                0.97375,                0.88239,                0.48389,                0.63502,                  0.663,             0.00034674,             0.00034674,             0.00034674
                     10,                0.50033,                0.75731,                0.96342,                0.92648,                      1,                0.98921,                0.89452,                 0.4887,                0.57362,                0.67054,              0.0001817,              0.0001817,              0.0001817
